request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids,entropy_before,entropy_after,entropy_target,entropy_error
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,11,10,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,12,11,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,1,0,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,2,1,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,3,2,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,4,3,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,5,4,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,6,5,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,7,6,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,8,7,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,9,8,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,10,9,,,0,[],,,,
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,11,10,,,0,[],,,,
