status,prompt_id,language,category,seed,condition,request_id,config_hash,output_sha256,raw_path,latency_ms,output_words,lexical_diversity,exact_source_8gram_overlap,forbidden_frame_count,adjacent_repetition_count
EXECUTED,cs-source,cs,source_transformation,202,full_minus_structural,paired-cs-source-202-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,bea778df73bc22c7d0543f65a5e85c55f066fabb66e39c07d598c09d16d2386f,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-full_minus_structural.json,723.455,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,202,full_minus_logit,paired-cs-source-202-full_minus_logit,40f1aae43f8faacf1839b35099881caba9d6f2bb4bd70edbcb2b46e42aea14ef,2eace1427822260ca76b128bc585f6bb04ea9230903872f40e8a4d9df5b8c8bd,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-full_minus_logit.json,555.355,7,1.0,0,0,0
NOT_IMPLEMENTED,,,,,representation_only,,,,,,,,,,
NOT_IMPLEMENTED,,,,,closed_loop_only,,,,,,,,,,
NOT_IMPLEMENTED,,,,,tournament_only,,,,,,,,,,
BLOCKED_NO_EXPERT_ARTIFACTS,,,,,dexperts_only,,,,,,,,,,
BLOCKED_UNIMPLEMENTED_COMPONENTS,,,,,full_canonical_stack,,,,,,,,,,
BLOCKED_UNIMPLEMENTED_COMPONENTS,,,,,full_minus_representation,,,,,,,,,,
BLOCKED_UNIMPLEMENTED_COMPONENTS,,,,,full_minus_closed_loop,,,,,,,,,,
BLOCKED_UNIMPLEMENTED_COMPONENTS,,,,,full_minus_tournament,,,,,,,,,,
