container_log_prefix,request_id,scheduler_request_id,config_hash,invocation_count,generated_tokens_before_sample,requested_forced_token_id,forced_token_id,mask_count,hard_injection_blocked_by_mask,changed_count,soft_injection_count,vector_count,entropy_pid_present
2026-07-28T03:42:29.177473221Z,FINAL-VAL-089,nram-scheduler-4cb11aa812094761a6da0ac53ce68efd,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:29.247617536Z,FINAL-VAL-093,nram-scheduler-2a3f66c55d1942f28d798f938414ec03,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:29.289626937Z,FINAL-VAL-094,nram-scheduler-64ee9d7266e54355a1e84d4bcaf082c8,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.053512320Z,FINAL-VAL-098,nram-scheduler-fe5d7136e2fb4e639822be640001a910,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.116057842Z,FINAL-VAL-099,nram-scheduler-cfd891360e2c4414a8b565e872f7d4b3,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.203147246Z,FINAL-VAL-103,nram-scheduler-06ed06665dbe47e689c893b2a5168e6b,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.270575632Z,FINAL-VAL-104,nram-scheduler-4b631a832ba641a4acd45a1ffa48d3c3,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.333607313Z,FINAL-VAL-108,nram-scheduler-8602b1222fe448ad9f0bf5cec793d21a,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.386947016Z,FINAL-VAL-109,nram-scheduler-c5880e8c250a474488f0ec85c8909fc7,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.469765769Z,FINAL-VAL-113,nram-scheduler-fe96b26596f74972a7d3e10e48f79046,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
